dteday,season,yr,mnth,hr,holiday,weekday,workingday,buyer_type,Product_Type,buyers,Location
1/1/2021,1,0,1,0,0,6,0,Non-Member,D,87,Location 1
1/1/2021,1,0,1,1,0,6,0,Member,D,6,Location 3
1/1/2021,1,0,1,2,0,6,0,Member,F,121,Location 5
1/1/2021,1,0,1,3,0,6,0,Member,D,244,Location 1
1/1/2021,1,0,1,4,0,6,0,Member,C,163,Location 2
1/1/2021,1,0,1,5,0,6,0,Member,A,159,Location 5
1/1/2021,1,0,1,6,0,6,0,Member,F,15,Location 2
1/1/2021,1,0,1,7,0,6,0,Member,C,37,Location 3
1/1/2021,1,0,1,8,0,6,0,Member,B,26,Location 4
1/1/2021,1,0,1,9,0,6,0,Non-Member,D,246,Location 5
1/1/2021,1,0,1,10,0,6,0,Non-Member,C,185,Location 5
1/1/2021,1,0,1,11,0,6,0,Non-Member,E,207,Location 2
1/1/2021,1,0,1,12,0,6,0,Member,B,127,Location 1
1/1/2021,1,0,1,13,0,6,0,Member,F,151,Location 3
1/1/2021,1,0,1,14,0,6,0,Non-Member,E,154,Location 3
1/1/2021,1,0,1,15,0,6,0,Member,F,235,Location 2
1/1/2021,1,0,1,16,0,6,0,Non-Member,D,138,Location 5
1/1/2021,1,0,1,17,0,6,0,Member,C,287,Location 3
1/1/2021,1,0,1,18,0,6,0,Member,C,95,Location 4
1/1/2021,1,0,1,19,0,6,0,Non-Member,D,251,Location 4
1/1/2021,1,0,1,20,0,6,0,Non-Member,D,109,Location 5
1/1/2021,1,0,1,21,0,6,0,Member,D,3,Location 4
1/1/2021,1,0,1,22,0,6,0,Non-Member,C,18,Location 3
1/1/2021,1,0,1,23,0,6,0,Non-Member,B,143,Location 3
2/1/2021,1,0,1,0,0,0,0,Member,F,108,Location 3
2/1/2021,1,0,1,1,0,0,0,Non-Member,D,49,Location 5
2/1/2021,1,0,1,2,0,0,0,Member,A,55,Location 1
2/1/2021,1,0,1,3,0,0,0,Member,E,70,Location 2
2/1/2021,1,0,1,4,0,0,0,Member,D,95,Location 2
2/1/2021,1,0,1,6,0,0,0,Member,D,113,Location 4
2/1/2021,1,0,1,7,0,0,0,Member,A,62,Location 3
2/1/2021,1,0,1,8,0,0,0,Member,F,97,Location 3
2/1/2021,1,0,1,9,0,0,0,Member,D,44,Location 4
2/1/2021,1,0,1,10,0,0,0,Member,C,105,Location 2
2/1/2021,1,0,1,11,0,0,0,Member,C,32,Location 5
2/1/2021,1,0,1,12,0,0,0,Member,C,126,Location 3
2/1/2021,1,0,1,13,0,0,0,Member,B,63,Location 3
2/1/2021,1,0,1,14,0,0,0,Member,C,72,Location 2
2/1/2021,1,0,1,15,0,0,0,Non-Member,B,103,Location 1
2/1/2021,1,0,1,16,0,0,0,Member,C,128,Location 1
2/1/2021,1,0,1,17,0,0,0,Member,F,122,Location 1
2/1/2021,1,0,1,18,0,0,0,Member,C,1,Location 3
